LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,account_id,current_limit_inr,current_balance_inr,income_inr,total_monthly_obligation_inr,debt_to_income,delinquency_count,utilization,credit_lines,credit_age_months,region,source_dataset,source_name,missing_model_fields,action,increase_pct,proposed_limit,pd,risk_band,current_ead,proposed_ead,current_expected_loss,proposed_expected_loss,incremental_contribution,risk_adjusted_return,reason_codes,policy_checks
552976.2696415005,0,0,1,-1,1,0,156754.12667129308,202699.4802503917,215377.54367618242,251794.8346135152,291145.8987727443,269843.30057876185,24686.48230284029,40577.03698091765,35260.434193169596,41453.33282872282,19594.154616922442,19533.17308224248,LIQ-000001,552976.2696415005,156754.12667129308,2051561.5031588625,116255.15184566888,0.68,2.0,0.28347351464633047,1,12,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,Freeze automatic increases,0.0,552976.2696415005,0.16702904464121762,High,487011.0369019535,487011.0369019535,52874.24234525036,52874.24234525036,0.0,0.0,Repeated delinquency,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": false, ""within_model_support"": true}"
413445.0478545652,1,0,0,0,0,2,151693.04198949327,162554.74445110175,180424.2793665611,225459.17121708073,197852.2572629395,217509.7525125351,11140.25038691641,14190.959956025441,6494.229370739803,42088.39958384375,21662.818416202623,10812.769535624797,LIQ-000002,413445.0478545652,151693.04198949327,1417825.823848368,22448.90887759916,0.19,2.0,0.3669001304445502,2,29,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,Freeze automatic increases,0.0,413445.0478545652,0.3813832588883867,Very high,397920.96289699385,397920.96289699385,98644.25584627922,98644.25584627922,0.0,0.0,Repeated delinquency,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true, ""within_model_support"": true}"
292495.89912436967,0,0,0,0,0,0,60023.77510165102,90314.54161479714,96678.01156513483,97857.96071400755,102089.21017968179,117730.23808127458,4164.776251951945,10583.909154637984,14457.628122522563,3268.3111981790407,21251.5559570462,15528.341667882289,LIQ-000003,292495.89912436967,60023.77510165102,979008.2473073674,16316.804121789453,0.19999999999999998,0.0,0.2052123646223458,3,46,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,No change,0.0,292495.89912436967,0.0933123109727471,Moderate,245224.1236833415,245224.1236833415,14873.579296653583,14873.579296653583,0.0,0.0,No reported delinquency in the harmonized source fields | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true, ""within_model_support"": true}"
232240.13945068803,1,-1,0,0,0,0,47529.62094605824,39033.146891622084,41681.01526351676,74187.13307803587,75208.97831514914,80799.30982143825,9629.821293852627,7752.114532492427,5018.323152836203,6169.27192230845,4438.300066900671,16071.035249122539,LIQ-000004,232240.13945068803,47529.62094605824,753691.7995517029,13189.6064921548,0.21,1.0,0.20465721842261592,4,63,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,Manual review,0.0,232240.13945068803,0.15188978572209078,High,200090.33036267283,200090.33036267283,19754.590312501674,19754.590312501674,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true, ""within_model_support"": true}"
247949.3402113034,0,0,0,0,0,0,97898.22991103379,100325.53939037884,124957.45522199963,110892.26773179208,138107.85138072234,151388.93995826965,7011.994880936953,11937.392191879844,21730.256067766342,16242.467028993298,27207.127334112713,25329.975405181376,LIQ-000005,247949.3402113034,97898.22991103379,1032915.2681426103,18936.779915947856,0.22,0.0,0.3948315806269318,5,80,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,No change,0.0,247949.3402113034,0.10343865528799094,Moderate,218197.10517320095,218197.10517320095,14670.509845451357,14670.509845451357,0.0,0.0,No reported delinquency in the harmonized source fields | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true, ""within_model_support"": true}"
218091.2171162979,0,0,0,0,1,0,64242.25863595713,58380.62139949807,57431.9381354028,73444.6450222917,97120.67278178796,79510.19070694834,9219.499058731286,10228.330725170254,11661.410848746513,8260.246776134547,9362.462041147406,12317.841755913314,LIQ-000006,218091.2171162979,64242.25863595713,767618.0859024883,14712.679979797691,0.22999999999999998,1.0,0.29456600538709327,6,97,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,Manual review,0.0,218091.2171162979,0.10454829834662827,Moderate,187671.30090197304,187671.30090197304,12753.464852569561,12753.464852569561,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true, ""within_model_support"": true}"
795048.1585076989,1,0,0,0,1,1,223652.11545751226,274766.3474043747,310586.10261072626,327277.9713523322,351647.59224581724,384340.5229689291,9102.264181479439,25754.057073699372,68139.34513017742,18751.568474142492,45948.324819186215,60646.69077351369,LIQ-000007,795048.1585076989,223652.11545751226,2821484.582227272,56429.69164454543,0.24,3.0,0.28130637504689787,7,114,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,Freeze automatic increases,0.0,795048.1585076989,0.20215502595464185,High,709954.4387017475,709954.4387017475,93288.55768853723,93288.55768853723,0.0,0.0,Repeated delinquency,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true, ""within_model_support"": true}"
368545.56198606425,0,-1,0,0,0,0,9050.850654871087,1309.804931423876,17429.545552831725,33689.56386372118,44448.17491996146,61884.032221919086,1182.0059004878926,274.2700176376771,3605.286836137208,1707.757171584754,8417.443411505406,10256.138934756287,LIQ-000008,368545.56198606425,9050.850654871087,986280.9578549912,20547.519955312317,0.25,0.0,0.0245582950615298,8,131,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,No change,0.0,368545.56198606425,0.08605901518512955,Moderate,294140.7645639784,294140.7645639784,16453.751940715076,16453.751940715076,0.0,0.0,No reported delinquency in the harmonized source fields | Low utilization provides no evidence of additional need | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true, ""within_model_support"": true}"
181731.74782843332,1,0,0,0,-1,0,87031.59938025108,85605.43166180525,94810.03289161409,95750.03886676524,109468.01361251049,101329.4843743576,2624.8540248980908,3409.5748714009983,12401.997648799505,15753.845555034191,18833.059449818786,19288.285410769233,LIQ-000009,181731.74782843332,87031.59938025108,725402.6626311232,15717.057690341004,0.26,1.0,0.47890146009278806,1,148,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,Manual review,0.0,181731.74782843332,0.1844855919290063,High,166792.11718750157,166792.11718750157,20000.982604478468,20000.982604478468,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true, ""within_model_support"": true}"
554411.6084250745,-1,0,0,0,-1,1,30216.90447299644,77642.39654080432,104812.79364883719,109427.00943452997,153981.21961656542,158449.52798198827,4109.6971167923975,16418.966479220584,4594.491551325074,4676.794268427566,17197.09616444089,27918.287881537704,LIQ-000010,554411.6084250745,30216.90447299644,1630249.1940671555,36680.606866511,0.27,1.0,0.05450265473126377,2,165,taiwan,taiwan_credit,UCI Default of Credit Card Clients,,Manual review,0.0,554411.6084250745,0.18236426292027327,High,471160.1228435208,471160.1228435208,55849.79953785965,55849.79953785965,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_rate_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true, ""within_model_support"": true}"
