delinquency_count,utilization,debt_to_income,credit_lines,income_inr,credit_age_months,region,source_dataset,current_limit_inr,current_balance_inr,account_id,action,increase_pct,proposed_limit,pd,risk_band,current_ead,proposed_ead,current_expected_loss,proposed_expected_loss,incremental_contribution,risk_adjusted_return,reason_codes,policy_checks,missing_model_fields
1.0,0.9769911757477331,,13.0,,190.82456743503803,undisclosed,fico_heloc,306000.0,299000.0,LIQ-000001,Manual review,0.0,306000.0,0.7376477608878677,Very high,304250.0,304250.0,145879.06531258693,145879.06531258693,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",debt_to_income | income_inr
1.0,0.8103063194926968,0.23746700278748756,9.0,,,undisclosed,give_me_some_credit,613000.0,496700.0,LIQ-000002,Manual review,0.0,613000.0,0.16109287587337998,High,583925.0,583925.0,61143.00240383622,61143.00240383622,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",income_inr | credit_age_months
,,0.41497857362412344,,,,undisclosed,home_credit,141000.0,10200.0,LIQ-000003,Manual review,0.0,141000.0,0.0814213387076708,Moderate,108300.0,108300.0,5731.655138326487,5731.655138326487,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
,,0.27546604421633114,,,,undisclosed,home_credit,181000.0,36700.0,LIQ-000004,Manual review,0.0,181000.0,0.0822952082090523,Moderate,144925.0,144925.0,7752.311482302988,7752.311482302988,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
0.0,0.6928170295333885,0.16061845663344887,8.0,,,undisclosed,give_me_some_credit,2600000.0,1801300.0,LIQ-000005,Increase 10%,0.1,2860000.0,0.05998552484458641,Moderate,2400325.0,2595325.0,93590.09069967823,101193.25597372957,53465.89815474424,0.2741840931012525,No reported delinquency in the harmonized source fields | High utilization with low estimated risk,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": true, ""payment_history_eligible"": true, ""not_overextended"": true}",income_inr | credit_age_months
1.0,0.2880099518076503,0.4258200938941614,8.0,2645095.5743230963,121.89022195827634,north_america,lending_club_full,661000.0,190400.0,LIQ-000006,Manual review,0.0,661000.0,0.35137478761631274,Very high,543350.0,543350.0,124097.6690533603,124097.6690533603,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",
0.0,0.12020729959429367,,,,,asia,taiwan_credit,130000.0,15600.0,LIQ-000007,No change,0.0,130000.0,0.08903835334836707,Moderate,101400.0,101400.0,5868.517869190874,5868.517869190874,0.0,0.0,No reported delinquency in the harmonized source fields | Low utilization provides no evidence of additional need | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",debt_to_income | credit_lines | income_inr | credit_age_months
0.0,0.7199353611614607,0.10081340608907058,8.0,,,undisclosed,give_me_some_credit,2600000.0,1871800.0,LIQ-000008,Increase 10%,0.1,2860000.0,0.06319450604319786,Moderate,2417950.0,2612950.0,99320.75132664767,107330.654967623,55990.86838346785,0.2871326583767582,No reported delinquency in the harmonized source fields | High utilization with low estimated risk,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": true, ""payment_history_eligible"": true, ""not_overextended"": true}",income_inr | credit_age_months
1.0,0.4122664883427738,,,,,asia,taiwan_credit,170000.0,70100.0,LIQ-000009,Manual review,0.0,170000.0,0.2763525453734571,High,145025.0,145025.0,26050.71813031065,26050.71813031065,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",debt_to_income | credit_lines | income_inr | credit_age_months
,,0.48422413063324293,9.0,,,europe,south_german_credit,916000.0,254000.0,LIQ-000010,Manual review,0.0,916000.0,0.21875914986670672,High,750500.0,750500.0,106716.18228372622,106716.18228372622,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | income_inr | credit_age_months
0.0,0.6019641525770526,,8.0,,281.35806929392993,undisclosed,fico_heloc,184000.0,110800.0,LIQ-000011,No change,0.0,184000.0,0.5184596308826921,Very high,165700.0,165700.0,55840.69454422035,55840.69454422035,0.0,0.0,No reported delinquency in the harmonized source fields | Expected loss exceeds policy ceiling | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",debt_to_income | income_inr
0.0,0.22616485663863692,,,,,asia,taiwan_credit,152000.0,34400.0,LIQ-000012,No change,0.0,152000.0,0.08210642839146615,Moderate,122600.0,122600.0,6543.061278515937,6543.061278515937,0.0,0.0,No reported delinquency in the harmonized source fields | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",debt_to_income | credit_lines | income_inr | credit_age_months
1.0,0.797276593030803,0.172664065903784,10.0,1482076.7392550232,71.61176705618183,north_america,lending_club_full,371000.0,295800.0,LIQ-000013,Manual review,0.0,371000.0,0.24621734488186073,High,352200.0,352200.0,56366.53676380438,56366.53676380438,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",
,,0.2078370591770535,,,,undisclosed,home_credit,1048000.0,366000.0,LIQ-000014,Manual review,0.0,1048000.0,0.08224380866383484,Moderate,877500.0,877500.0,46909.8123666348,46909.8123666348,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
0.0,0.3419541446807515,,8.0,,250.99682488024607,undisclosed,fico_heloc,325000.0,111100.0,LIQ-000015,No change,0.0,325000.0,0.3665250693424135,Very high,271525.0,271525.0,64688.46764457924,64688.46764457924,0.0,0.0,No reported delinquency in the harmonized source fields | Expected loss exceeds policy ceiling | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",debt_to_income | income_inr
0.0,0.8863219982362818,0.10133609621562317,7.0,1772267.957354191,276.36745456364184,north_america,lending_club_full,443000.0,392600.0,LIQ-000016,No change,0.0,443000.0,0.2580303050416001,High,430400.0,430400.0,72186.55813843805,72186.55813843805,0.0,0.0,No reported delinquency in the harmonized source fields | Expected loss exceeds policy ceiling,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",
0.0,0.6688409418510302,,10.0,,205.61139121266163,undisclosed,fico_heloc,810000.0,541800.0,LIQ-000017,No change,0.0,810000.0,0.6096043268688264,Very high,742950.0,742950.0,294388.59752067644,294388.59752067644,0.0,0.0,No reported delinquency in the harmonized source fields | Expected loss exceeds policy ceiling | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",debt_to_income | income_inr
0.0,0.8671135983332687,,6.0,,104.5726165391979,undisclosed,fico_heloc,619000.0,536700.0,LIQ-000018,No change,0.0,619000.0,0.7446683817168323,Very high,598425.0,598425.0,289658.314613782,289658.314613782,0.0,0.0,No reported delinquency in the harmonized source fields | Expected loss exceeds policy ceiling | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",debt_to_income | income_inr
,,0.17171695851276936,,,,undisclosed,home_credit,461000.0,64000.0,LIQ-000019,Manual review,0.0,461000.0,0.08146932578450834,Moderate,361750.0,361750.0,19156.49359165483,19156.49359165483,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
,,0.09193719233937267,12.0,,,europe,south_german_credit,240000.0,127200.0,LIQ-000020,Manual review,0.0,240000.0,0.17917031017776783,High,211800.0,211800.0,24666.3766021733,24666.3766021733,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | income_inr | credit_age_months
,,0.2324849734676595,,,,undisclosed,home_credit,471000.0,164100.0,LIQ-000021,Manual review,0.0,471000.0,0.0822952082090523,Moderate,394275.0,394275.0,21090.513090805664,21090.513090805664,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
0.0,0.7332132157122327,,,,,asia,taiwan_credit,2600000.0,1906400.0,LIQ-000022,Increase 10%,0.1,2860000.0,0.1275675660662086,Moderate,2426600.0,2621600.0,201211.04628057015,217380.2352794621,49267.0253253261,0.25265141192474927,No reported delinquency in the harmonized source fields | High utilization with low estimated risk,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": true, ""payment_history_eligible"": true, ""not_overextended"": true}",debt_to_income | credit_lines | income_inr | credit_age_months
,,0.04071564143553004,7.0,,,europe,south_german_credit,233000.0,211000.0,LIQ-000023,Manual review,0.0,233000.0,0.1949801293037338,High,227500.0,227500.0,28832.68662078964,28832.68662078964,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | income_inr | credit_age_months
0.0,0.4157162359658228,0.3195061628053145,8.0,,,undisclosed,give_me_some_credit,2600000.0,1080900.0,LIQ-000024,Increase 10%,0.1,2860000.0,0.028242128527211825,Low,2220225.0,2415225.0,40757.52187606377,44337.21166688787,27532.561046969066,0.14119262075368752,No reported delinquency in the harmonized source fields,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": true, ""payment_history_eligible"": true, ""not_overextended"": true}",income_inr | credit_age_months
,,0.424921742563299,,,,undisclosed,home_credit,816000.0,313800.0,LIQ-000025,Manual review,0.0,816000.0,0.0816667968826516,Moderate,690450.0,690450.0,36651.445939957426,36651.445939957426,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
1.0,0.8373564145413087,,,,,asia,taiwan_credit,465000.0,389400.0,LIQ-000026,Manual review,0.0,465000.0,0.32310135815252455,Very high,446100.0,446100.0,93688.08531669679,93688.08531669679,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",debt_to_income | credit_lines | income_inr | credit_age_months
1.0,0.7065757989163336,,,,,asia,taiwan_credit,100000.0,70700.0,LIQ-000027,Manual review,0.0,100000.0,0.3214240119572888,Very high,92675.0,92675.0,19362.18070029213,19362.18070029213,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",debt_to_income | credit_lines | income_inr | credit_age_months
0.0,0.14361457244119413,,4.0,,214.92009447362983,undisclosed,fico_heloc,160000.0,23000.0,LIQ-000028,No change,0.0,160000.0,0.2411209906686591,High,125750.0,125750.0,19708.626974779527,19708.626974779527,0.0,0.0,No reported delinquency in the harmonized source fields | Low utilization provides no evidence of additional need | Expected loss exceeds policy ceiling | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",debt_to_income | income_inr
1.0,0.36697816322443355,,,,,asia,taiwan_credit,225000.0,82600.0,LIQ-000029,Manual review,0.0,225000.0,0.2698727355063972,High,189400.0,189400.0,33224.032468192556,33224.032468192556,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",debt_to_income | credit_lines | income_inr | credit_age_months
0.0,0.5806667047531409,0.2304986586622606,9.0,,,undisclosed,give_me_some_credit,2600000.0,1509700.0,LIQ-000030,Increase 10%,0.1,2860000.0,0.05171304906601613,Moderate,2327425.0,2522425.0,78232.85809460717,84787.48706372472,42390.087148335,0.21738506229915383,No reported delinquency in the harmonized source fields,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": true, ""payment_history_eligible"": true, ""not_overextended"": true}",income_inr | credit_age_months
,,0.18756953675165633,14.0,,,europe,south_german_credit,155000.0,66900.0,LIQ-000031,Manual review,0.0,155000.0,0.1870956336935481,High,132975.0,132975.0,16171.377228759713,16171.377228759713,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | income_inr | credit_age_months
,,0.36332130052880757,,,,undisclosed,home_credit,298000.0,89900.0,LIQ-000032,Manual review,0.0,298000.0,0.0814213387076708,Moderate,245975.0,245975.0,13017.948962602564,13017.948962602564,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
,,0.2958015027405525,,,,undisclosed,home_credit,1104000.0,651200.0,LIQ-000033,Manual review,0.0,1104000.0,0.08215167347213541,Moderate,990800.0,990800.0,52907.320749524646,52907.320749524646,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
,,0.17344438702060963,,,,undisclosed,home_credit,454000.0,164200.0,LIQ-000034,Manual review,0.0,454000.0,0.08146932578450834,Moderate,381550.0,381550.0,20205.00381450145,20205.00381450145,0.0,0.0,Insufficient behavioral history | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",delinquency_count | utilization | credit_lines | income_inr | credit_age_months
0.0,0.3770843861277229,0.55443809141876,10.0,912467.9610524877,135.12492791501452,north_america,lending_club_full,228000.0,86000.0,LIQ-000035,No change,0.0,228000.0,0.3710840870516205,Very high,192500.0,192500.0,46431.89639233402,46431.89639233402,0.0,0.0,No reported delinquency in the harmonized source fields | Expected loss exceeds policy ceiling | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",
0.0,0.9680107400891501,0.06777460714547431,8.0,2713569.22106633,168.114429585422,north_america,lending_club_full,678000.0,656300.0,LIQ-000036,No change,0.0,678000.0,0.23574788342779304,High,672575.0,672575.0,103062.78625269115,103062.78625269115,0.0,0.0,No reported delinquency in the harmonized source fields | Expected loss exceeds policy ceiling,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",
1.0,0.4704999084227835,,6.0,,149.95959918888667,undisclosed,fico_heloc,121000.0,56900.0,LIQ-000037,Manual review,0.0,121000.0,0.6568188878000522,Very high,104975.0,104975.0,44817.21578542681,44817.21578542681,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",debt_to_income | income_inr
