delinquency_count,utilization,debt_to_income,credit_lines,income_inr,credit_age_months,region,source_dataset,current_limit_inr,current_balance_inr,account_id,action,increase_pct,proposed_limit,pd,risk_band,current_ead,proposed_ead,current_expected_loss,proposed_expected_loss,incremental_contribution,risk_adjusted_return,reason_codes,policy_checks,missing_model_fields
1,0.04871922133547444,,,,,asia,taiwan_credit,163000.0,7900.0,LIQ-000001,Manual review,0.0,163000.0,0.2865038364508808,High,124225.0,124225.0,23134.110404021932,23134.110404021932,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
1,0.7342957327368579,,,,,asia,taiwan_credit,488000.0,358300.0,LIQ-000002,Manual review,0.0,488000.0,0.3139140952892999,Very high,455575.0,455575.0,92957.41907492482,92957.41907492482,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.14457839894002536,,,,,asia,taiwan_credit,1348000.0,194900.0,LIQ-000003,No change,0.0,1348000.0,0.06569109633042208,Moderate,1059725.0,1059725.0,45249.423088191754,45249.423088191754,0.0,0.0,No reported delinquency in the harmonized source fields | Low utilization provides no evidence of additional need | Incremental return below profitability hurdle,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
2,0.26607405624969743,,,,,asia,taiwan_credit,919000.0,244500.0,LIQ-000004,Freeze automatic increases,0.0,919000.0,0.3695714704996306,Very high,750375.0,750375.0,180256.17491450423,180256.17491450423,0.0,0.0,Repeated delinquency,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.6038091421524123,,,,,asia,taiwan_credit,132000.0,79700.0,LIQ-000005,No change,0.0,132000.0,0.08907457679992008,Moderate,118925.0,118925.0,6885.576129854822,6885.576129854822,0.0,0.0,No reported delinquency in the harmonized source fields | Exposure limit reached,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.912003165468193,,,,,asia,taiwan_credit,247000.0,225300.0,LIQ-000006,Increase 30%,0.3,321100.0,0.13789137581648095,Moderate,241575.0,297150.0,21652.22092336315,26633.374510513757,19048.125303393485,0.3427462942580924,No reported delinquency in the harmonized source fields | High utilization with low estimated risk,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": true, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.9120967534828114,,,,,asia,taiwan_credit,460000.0,419600.0,LIQ-000007,Increase 30%,0.3,598000.0,0.13789137581648095,Moderate,449900.0,553400.0,40324.26448689261,49600.906794946364,35634.83424549136,0.34429791541537547,No reported delinquency in the harmonized source fields | High utilization with low estimated risk,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": true, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
1,0.7468719926458524,,,,,asia,taiwan_credit,334000.0,249500.0,LIQ-000008,Manual review,0.0,334000.0,0.3139140952892999,Very high,312875.0,312875.0,63840.317166365814,63840.317166365814,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
1,0.6589341094603322,,,,,asia,taiwan_credit,141000.0,92900.0,LIQ-000009,Manual review,0.0,141000.0,0.3587003580810879,Very high,128975.0,128975.0,30071.196144280402,30071.196144280402,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.35758778485941495,,,,,asia,taiwan_credit,450000.0,160900.0,LIQ-000010,No change,0.0,450000.0,0.07264242638855538,Moderate,377725.0,377725.0,17835.259329951103,17835.259329951103,0.0,0.0,No reported delinquency in the harmonized source fields | Exposure limit reached,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.5636479114156693,,,,,asia,taiwan_credit,348000.0,196100.0,LIQ-000011,No change,0.0,348000.0,0.08711596043527224,Moderate,310025.0,310025.0,17555.28166206443,17555.28166206443,0.0,0.0,No reported delinquency in the harmonized source fields | Exposure limit reached,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,1.1779420858236351,,,,,asia,taiwan_credit,1215000.0,1431200.0,LIQ-000012,Manual review,0.0,1215000.0,0.19613037377187448,High,1215000.0,1215000.0,154893.96268633788,154893.96268633788,0.0,0.0,Customer-overextension safeguard | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": false}",credit_age_months | credit_lines | debt_to_income | income_inr
1,0.9550032987154654,,,,,asia,taiwan_credit,297000.0,283600.0,LIQ-000013,Manual review,0.0,297000.0,0.38727516599050843,Very high,293650.0,293650.0,73920.17912052332,73920.17912052332,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
1,0.5584648814637461,,,,,asia,taiwan_credit,748000.0,417700.0,LIQ-000014,Manual review,0.0,748000.0,0.325748538169878,Very high,665425.0,665425.0,140894.7936575992,140894.7936575992,0.0,0.0,Reported delinquency | Manual review required,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
2,0.1646653290078289,,,,,asia,taiwan_credit,154000.0,25400.0,LIQ-000015,Freeze automatic increases,0.0,154000.0,0.35292080967991074,Very high,121850.0,121850.0,27952.21042867313,27952.21042867313,0.0,0.0,Repeated delinquency,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": false, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": false, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.8535981614001092,,,,,asia,taiwan_credit,179000.0,152800.0,LIQ-000016,No change,0.0,179000.0,0.1248660570378491,Moderate,172450.0,172450.0,13996.5484985151,13996.5484985151,0.0,0.0,No reported delinquency in the harmonized source fields | High utilization with low estimated risk | Exposure limit reached,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.234480437730272,,,,,asia,taiwan_credit,559000.0,131100.0,LIQ-000017,No change,0.0,559000.0,0.08026424038307127,Moderate,452025.0,452025.0,23582.938118452566,23582.938118452566,0.0,0.0,No reported delinquency in the harmonized source fields | Exposure limit reached,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": false, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
0,0.6509949706227859,,,,,asia,taiwan_credit,708000.0,460900.0,LIQ-000018,Increase 30%,0.3,920400.0,0.10742653511030126,Moderate,646225.0,805525.0,45124.11322357538,56247.59380157152,35038.739167928165,0.21995442038875182,No reported delinquency in the harmonized source fields | High utilization with low estimated risk,"{""automatic_increases_enabled"": true, ""within_maximum_increase"": true, ""within_account_exposure"": true, ""within_expected_loss_ceiling"": true, ""meets_profitability_hurdle"": true, ""payment_history_eligible"": true, ""not_overextended"": true}",credit_age_months | credit_lines | debt_to_income | income_inr
